Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
248884,"Berserk, Vol. 6 (Berserk, #6)",Kentaro Miura,"Miura, Kentaro",,159307252X,9781590000000.00,5,4.63,Dark Horse Manga,Paperback,223,2005,1993,02/04/2023,09/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#71), horror-thriller (#13), manga (#21), gothic (#20)",read,,,,1,0
248883,"Berserk, Vol. 7 (Berserk, #7)",Kentaro Miura,"Miura, Kentaro",,1593073283,9781590000000.00,5,4.63,Dark Horse Manga,Paperback,231,2005,1994,03/04/2023,09/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#72), horror-thriller (#14), manga (#22), gothic (#19)",read,,,,1,0
248878,"Berserk, Vol. 8 (Berserk, #8)",Kentaro Miura,"Miura, Kentaro",,1593073291,9781590000000.00,5,4.7,Dark Horse Manga,Paperback,230,2005,1994,04/04/2023,09/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#73), horror-thriller (#15), manga (#23), gothic (#18)",read,,,,1,0
248882,"Berserk, Vol. 9",Kentaro Miura,"Miura, Kentaro",,1593073305,9781590000000.00,5,4.69,Dark Horse Manga,Paperback,234,2005,1995,09/04/2023,09/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#74), horror-thriller (#16), manga (#24), gothic (#17)",read,,,,1,0
248872,"Berserk, Vol. 10",Kentaro Miura,"Miura, Kentaro",,1593073313,9781590000000.00,5,4.7,Dark Horse Manga,Paperback,237,2006,1995,10/04/2023,09/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#75), horror-thriller (#17), manga (#25), gothic (#16)",read,,,,1,0
248879,"Berserk, Vol. 11",Kentaro Miura,"Miura, Kentaro",,1593074700,9781590000000.00,5,4.61,Dark Horse Manga,Paperback,234,2006,1996,10/04/2023,09/04/2023,"fantasy, gothic, horror-thriller, manga","fantasy (#86), gothic (#15), horror-thriller (#28), manga (#36)",read,,,,1,0
248876,"Berserk, Vol. 12",Kentaro Miura,"Miura, Kentaro",,1593074840,9781590000000.00,5,4.75,Dark Horse Manga,Paperback,229,2006,1996,10/04/2023,09/04/2023,"fantasy, horror-thriller, manga, gothic","fantasy (#76), horror-thriller (#18), manga (#26), gothic (#14)",read,"I... 	dunno how to feel. It just... he just... and I never cry with books, but here we are, ladies and gentlemen, about to finish my 2nd tissue box.",,,1,0
22948021,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,1473211514,9781470000000.00,0,4.66,Gollancz,Paperback,1124,2015,2010,,31/03/2023,to-read,to-read (#162),to-read,,,,0,0
248870,"Berserk, Vol. 4 (Berserk, #4)",Kentaro Miura,"Miura, Kentaro",,1593072031,9781590000000.00,5,4.59,Dark Horse Manga,Paperback,240,2004,1992,,23/03/2023,"horror-thriller, manga, fantasy, gothic","horror-thriller (#12), manga (#20), fantasy (#88), gothic (#22)",read,,,,1,0
248881,"Berserk, Vol. 5 (Berserk, #5)",Kentaro Miura,"Miura, Kentaro",,1593072511,9781590000000.00,5,4.62,Dark Horse Books/Digital Manga Publishing,Paperback,240,2004,1993,24/03/2023,23/03/2023,"fantasy, gothic, horror-thriller, manga","fantasy (#87), gothic (#21), horror-thriller (#29), manga (#37)",read,,,,1,0
248871,"Berserk, Vol. 1 (Berserk, #1)",Kentaro Miura,"Miura, Kentaro",,1593070209,9781590000000.00,5,4.48,Dark Horse Manga,Paperback,224,2003,1990,02/03/2023,20/03/2023,"horror-thriller, manga, fantasy, gothic","horror-thriller (#9), manga (#17), fantasy (#91), gothic (#25)",read,,,,1,0
248873,"Berserk, Vol. 2 (Berserk, #2)",Kentaro Miura,"Miura, Kentaro",,1593070217,9781590000000.00,5,4.44,Dark Horse Manga,Paperback,240,2004,1991,02/03/2023,20/03/2023,"horror-thriller, manga, fantasy, gothic","horror-thriller (#10), manga (#18), fantasy (#90), gothic (#24)",read,,,,1,0
248874,"Berserk, Vol. 3 (Berserk, #3)",Kentaro Miura,"Miura, Kentaro",,1593070225,9781590000000.00,5,4.56,Dark Horse Comics LLC,Paperback,240,2004,1991,23/03/2023,20/03/2023,"horror-thriller, manga, fantasy, gothic","horror-thriller (#11), manga (#19), fantasy (#89), gothic (#23)",read,"I'm not simpimg for Griffith, I'm not simpimg for Griffith, I'm not simpimg for Griffith, I'm not simpimg for Griffith...",TRUE,,1,0
248871,"Berserk, Vol. 1 (Berserk, #1)",Kentaro Miura,"Miura, Kentaro",,1593070209,9781590000000.00,5,4.48,Dark Horse Manga,Paperback,224,2003,1990,02/03/2023,20/03/2023,"horror-thriller, manga, fantasy, gothic","horror-thriller (#9), manga (#17), fantasy (#91), gothic (#25)",read,,,,1,0
90535723,The Ancient Magus' Bride Vol. 17,Kore Yamazaki,"Yamazaki, Kore",,,,4,4.25,Seven Seas,Kindle Edition,187,2023,2022,17/03/2023,17/03/2023,,,read,,,,1,0
59054272,"The Ancient Magus' Bride, Vol. 16",Kore Yamazaki,"Yamazaki, Kore",,1638582947,9781640000000.00,4,4.16,Seven Seas,Paperback,196,2022,2021,12/03/2023,12/03/2023,"fantasy, manga","fantasy (#70), manga (#16)",read,"From all the volumes regarding the College, this one is my favourite so far; I'm inclined to believe this is due to the inclusion of small segments with Chise's and Elias' adventures in their country side house which is a lovely contrast to the lack of Chise-Elias interaction focus present during the College Arch. <br/>I truly enjoyed the character development present in this volume, a strong must have in comparison to the previous volumes where I felt a slow paced world and background building seemed to swallow the narrative. <br/>This volume has one of my favourite quotes so far: ""the rain hides away the smell of the sun"".",TRUE,,1,0
60473073,Pageboy,Elliot Page,"Page, Elliot",,,,0,3.78,Flatiron,,271,2023,2023,,07/03/2023,to-read,to-read (#161),to-read,,,,0,0
12974171,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",Paul Cantor,141198966,9780140000000.00,0,3.87,Penguin,Paperback,269,2012,1818,,07/03/2023,to-read,to-read (#160),to-read,,,,0,0
3936871,Faust: Part One,Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",David Luke,019953621X,9780200000000.00,0,3.86,Oxford University Press,Paperback,176,2008,1808,,07/03/2023,to-read,to-read (#159),to-read,,,,0,0
32840979,"Dark Asylum (Jem Flockhart, #2)",E.S. Thomson,"Thomson, E.S.",,,,0,3.92,Constable,Kindle Edition,383,2017,2017,,06/03/2023,"historical-fiction, horror-thriller","historical-fiction (#4), horror-thriller (#8)",read,"I know not where to begin reviewing this masterpiece. Such thrilling paragraphs, engaging story line, mindblowing character development! <br/><br/>This book froze the blood in my veins, crushed my heart, threw me in a rollercoaster of emotional despair and fear for my beloved characters.<br/><br/>When I thought I had figured out who the murderer was, Thomson strikes again with her exceptional reasoning and shocking plot twists. <br/>I avidly recommend this book to lovers of the crime genre, Victorian settings, apothecary aesthetics and the intricate knowledge of herbs and poisons!<br/><br/>***<br/>I would like to leave you with the following quote which, in my humble opinion, defines the astonishing levels of emotion this book contains:<br/><br/>«""I had to protect her. I said I would. I would not have her sent back to the gallows. (...)""<br/>""And she never knew who you were?""<br/>Thank God she did not. But I had to protect her. I said I would.""»",,,0,0
61473944,The Smile of a Mountain Witch: Five Books and Ten Words,Calum Hawkes,"Hawkes, Calum",,,,0,5,,Kindle Edition,,2022,,,20/02/2023,to-read,to-read (#158),to-read,,,,0,0
50781007,Chinese Fairy Tales and Legends: A Gift Edition of 73 Enchanting Chinese Folk Stories and Fairy Tales,Frederick H. Martens,"Martens, Frederick H.",Richard Wilhelm,1912392143,9781910000000.00,0,3.47,Bloomsbury China,Kindle Edition,288,2019,2019,,18/01/2023,to-read,to-read (#132),to-read,,,,0,1
36399231,The Nature of Winter,Jim Crumley,"Crumley, Jim",,1912235099,9781910000000.00,0,3.89,Saraband,Kindle Edition,206,2017,2017,,18/01/2023,to-read,to-read (#137),to-read,,,,0,1
1497533,Waters Of The Wild Swan,Jim Crumley,"Crumley, Jim",,224032828,9780220000000.00,0,4,Whittles Publishing,Hardcover,176,1992,1992,,18/01/2023,to-read,to-read (#155),to-read,,,,0,0
2356950,Badgers on the Highland Edge,Jim Crumley,"Crumley, Jim",,224036424,9780220000000.00,0,3.71,Whittles Publishing,Hardcover,160,1994,1994,,18/01/2023,to-read,to-read (#156),to-read,,,,0,0
12119679,Gulfs of Blue Air: A Highland Journey,Jim Crumley,"Crumley, Jim",,1851588892,9781850000000.00,0,4,Mainstream Publishing,Hardcover,192,1997,1997,,18/01/2023,to-read,to-read (#154),to-read,,,,0,0
21016361,Isle of Skye: Souvenir Guide,Jim Crumley,"Crumley, Jim",,1841074500,9781840000000.00,0,4.33,Colin Baxter Photography Ltd,Paperback,32,2009,2009,,18/01/2023,to-read,to-read (#157),to-read,,,,0,0
14996110,Brother Nature,Jim Crumley,"Crumley, Jim",,1904445349,9781900000000.00,0,4.75,Whittles Publishing,Hardcover,176,2007,2007,,18/01/2023,to-read,to-read (#153),to-read,,,,0,0
39928617,Kingfisher,Jim Crumley,"Crumley, Jim",,191223503X,9781910000000.00,0,4.23,Saraband,Hardcover,64,2018,,,18/01/2023,to-read,to-read (#152),to-read,,,,0,0
30361192,Swan (Encounters In The Wild),Jim Crumley,"Crumley, Jim",,1910192120,9781910000000.00,0,4.38,Saraband,Hardcover,64,2015,,,18/01/2023,to-read,to-read (#151),to-read,,,,0,0
43358096,Otter (Encounters in the Wild),Jim Crumley,"Crumley, Jim",,1912235048,9781910000000.00,0,4.36,Saraband,Hardcover,64,2018,,,18/01/2023,to-read,to-read (#150),to-read,,,,0,0
